name,rule,regime,burn_in,cond_entropy,ambiguous_fraction,n_samples,n_keys
Vanish,B/S,trivial,0,0.0,0.0,69360,512
Vanish,B/S,trivial,2,0.0,0.0,69360,1
Vanish,B/S,trivial,4,0.0,0.0,69360,1
Vanish,B/S,trivial,8,0.0,0.0,69360,1
Vanish,B/S,trivial,16,0.0,0.0,69360,1
Vanish,B/S,trivial,32,0.0,0.0,69360,1
Vanish,B/S,trivial,64,0.0,0.0,69360,1
Vanish,B/S,trivial,100,0.0,0.0,69360,1
LifeWithoutDeath,B3/S012345678,ordered,0,0.315777002737667,0.4066320645905421,69360,512
LifeWithoutDeath,B3/S012345678,ordered,2,0.12518483703297123,0.21529700115340253,69360,508
LifeWithoutDeath,B3/S012345678,ordered,4,0.07353017480504939,0.15255190311418684,69360,472
LifeWithoutDeath,B3/S012345678,ordered,8,0.03422805063549243,0.09795271049596309,69360,393
LifeWithoutDeath,B3/S012345678,ordered,16,0.009513475213840692,0.05500288350634371,69360,310
LifeWithoutDeath,B3/S012345678,ordered,32,0.0003933453466112736,0.000591118800461361,69360,203
LifeWithoutDeath,B3/S012345678,ordered,64,0.0,0.0,69360,169
LifeWithoutDeath,B3/S012345678,ordered,100,0.0,0.0,69360,169
Maze,B3/S12345,ordered,0,0.7064713436873611,0.998760092272203,69360,512
Maze,B3/S12345,ordered,2,0.36002145764228255,0.9815599769319493,69360,512
Maze,B3/S12345,ordered,4,0.2597143953232172,0.9778114186851211,69360,511
Maze,B3/S12345,ordered,8,0.13047099443394672,0.8459054209919262,69360,505
Maze,B3/S12345,ordered,16,0.052119646696256156,0.7977652825836217,69360,470
Maze,B3/S12345,ordered,32,0.01747165385927401,0.7786476355247982,69360,414
Maze,B3/S12345,ordered,64,0.0001357714630959512,0.003633217993079585,69360,307
Maze,B3/S12345,ordered,100,0.0,0.0,69360,301
Mazectric,B3/S1234,ordered,0,0.7225249288857747,1.0,69360,512
Mazectric,B3/S1234,ordered,2,0.5771492587315127,1.0,69360,512
Mazectric,B3/S1234,ordered,4,0.574057486066917,1.0,69360,512
Mazectric,B3/S1234,ordered,8,0.4642531366396918,0.9998702422145329,69360,512
Mazectric,B3/S1234,ordered,16,0.24141916296780203,0.865816032295271,69360,512
Mazectric,B3/S1234,ordered,32,0.08252804535801235,0.8783304498269896,69360,492
Mazectric,B3/S1234,ordered,64,0.025327393799033517,0.8232987312572088,69360,459
Mazectric,B3/S1234,ordered,100,0.02294355179313324,0.8269319492502883,69360,453
Life,B3/S23,complex,0,0.5035376690632559,1.0,69360,512
Life,B3/S23,complex,2,0.42664581476489005,0.9996683967704729,69360,512
Life,B3/S23,complex,4,0.39716972093584774,0.9995530565167243,69360,512
Life,B3/S23,complex,8,0.35900518659020686,0.9989475201845444,69360,512
Life,B3/S23,complex,16,0.3056972621923599,0.9989042675893887,69360,512
