config,seed,name,rule,regime,cond_entropy
b2 majority,1,Vanish,B/S,trivial,0.0
b2 majority,1,LifeWithoutDeath,B3/S012345678,ordered,0.0
b2 majority,1,Maze,B3/S12345,ordered,0.0007072533373354806
b2 majority,1,Mazectric,B3/S1234,ordered,0.03564896196020813
b2 majority,1,Life,B3/S23,complex,0.18501218276337622
b2 majority,1,HighLife,B36/S23,complex,0.24785519871111525
b2 majority,1,DayAndNight,B3678/S34678,complex,0.1417290817160302
b2 majority,1,Morley,B368/S245,complex,0.17046207793308782
b2 majority,1,Seeds,B2/S,chaotic,0.6105931371597701
b2 majority,1,Replicator,B1357/S1357,chaotic,0.8848542655215899
b2 majority,1,ThreeFourLife,B34/S34,chaotic,0.6149453747765572
b2 majority,2,Vanish,B/S,trivial,0.0
b2 majority,2,LifeWithoutDeath,B3/S012345678,ordered,0.0
b2 majority,2,Maze,B3/S12345,ordered,0.00048753793811127667
b2 majority,2,Mazectric,B3/S1234,ordered,0.02662652066234807
b2 majority,2,Life,B3/S23,complex,0.16422608838121247
b2 majority,2,HighLife,B36/S23,complex,0.24619579810281556
b2 majority,2,DayAndNight,B3678/S34678,complex,0.1490099417481966
b2 majority,2,Morley,B368/S245,complex,0.16011644953155668
b2 majority,2,Seeds,B2/S,chaotic,0.6108497411102024
b2 majority,2,Replicator,B1357/S1357,chaotic,0.8834256371566254
b2 majority,2,ThreeFourLife,B34/S34,chaotic,0.6319851718697862
b2 majority,3,Vanish,B/S,trivial,0.0
b2 majority,3,LifeWithoutDeath,B3/S012345678,ordered,0.0
b2 majority,3,Maze,B3/S12345,ordered,0.0007891218527187049
b2 majority,3,Mazectric,B3/S1234,ordered,0.023209212581168776
b2 majority,3,Life,B3/S23,complex,0.17585711448354402
b2 majority,3,HighLife,B36/S23,complex,0.24162789900256615
b2 majority,3,DayAndNight,B3678/S34678,complex,0.13499191278088485
b2 majority,3,Morley,B368/S245,complex,0.14795629703959218
b2 majority,3,Seeds,B2/S,chaotic,0.606901978540343
b2 majority,3,Replicator,B1357/S1357,chaotic,0.8823026938195264
b2 majority,3,ThreeFourLife,B34/S34,chaotic,0.650527832243988
b2 majority,4,Vanish,B/S,trivial,0.0
b2 majority,4,LifeWithoutDeath,B3/S012345678,ordered,0.0
b2 majority,4,Maze,B3/S12345,ordered,0.0
