name,rule,regime,cond_entropy,ambiguous_fraction,n_samples,n_keys
Vanish,B/S,trivial,0.0,0.0,423200,512
LifeWithoutDeath,B3/S012345678,ordered,0.311374258256117,0.3937452741020794,423200,512
Seeds,B2/S,chaotic,0.32505137548882634,0.6689319470699433,423200,512
Life,B3/S23,complex,0.48900518980724883,1.0,423200,512
DayAndNight,B3678/S34678,complex,0.554097875225571,1.0,423200,512
HighLife,B36/S23,complex,0.6269373861371714,1.0,423200,512
ThreeFourLife,B34/S34,chaotic,0.6363372922692272,1.0,423200,512
Mazectric,B3/S1234,ordered,0.7112258694606373,1.0,423200,512
Maze,B3/S12345,ordered,0.7182774841688871,1.0,423200,512
Morley,B368/S245,complex,0.7887320394759052,1.0,423200,512
Replicator,B1357/S1357,chaotic,0.9184495959141442,1.0,423200,512
