separation,tau,defect
5,4,0
5,8,0
5,12,3
5,16,4
5,20,2
5,24,2
5,28,2
5,32,2
5,36,2
5,40,2
5,44,2
5,48,2
5,52,2
5,56,2
5,60,2
5,64,2
5,68,2
5,72,2
5,76,2
5,80,2
6,4,0
6,8,0
6,12,3
6,16,6
6,20,3
6,24,3
6,28,3
6,32,3
6,36,3
6,40,3
6,44,3
6,48,3
6,52,3
6,56,3
6,60,3
6,64,3
6,68,3
6,72,3
6,76,3
6,80,3
7,4,0
7,8,0
7,12,0
7,16,3
7,20,4
7,24,2
7,28,2
7,32,2
7,36,2
7,40,2
7,44,2
7,48,2
7,52,2
7,56,2
7,60,2
7,64,2
7,68,2
7,72,2
7,76,2
7,80,2
8,4,0
8,8,0
8,12,0
8,16,3
8,20,6
8,24,3
8,28,3
8,32,3
8,36,3
8,40,3
8,44,3
8,48,3
8,52,3
8,56,3
8,60,3
8,64,3
8,68,3
8,72,3
8,76,3
8,80,3
9,4,0
9,8,0
9,12,0
9,16,0
9,20,3
9,24,4
9,28,2
9,32,2
9,36,2
9,40,2
9,44,2
9,48,2
9,52,2
9,56,2
9,60,2
9,64,2
9,68,2
9,72,2
9,76,2
9,80,2
10,4,0
10,8,0
10,12,0
10,16,0
10,20,3
10,24,6
10,28,3
10,32,3
10,36,3
10,40,3
10,44,3
10,48,3
10,52,3
10,56,3
10,60,3
10,64,3
10,68,3
10,72,3
10,76,3
10,80,3
11,4,0
11,8,0
11,12,0
11,16,0
11,20,0
11,24,3
11,28,4
11,32,2
11,36,2
11,40,2
11,44,2
11,48,2
11,52,2
11,56,2
11,60,2
11,64,2
11,68,2
11,72,2
11,76,2
11,80,2
12,4,0
12,8,0
12,12,0
12,16,0
12,20,0
12,24,3
12,28,6
12,32,3
12,36,3
12,40,3
12,44,3
12,48,3
12,52,3
12,56,3
12,60,3
12,64,3
12,68,3
12,72,3
12,76,3
12,80,3
13,4,0
13,8,0
13,12,0
13,16,0
13,20,0
13,24,0
13,28,3
13,32,4
13,36,2
13,40,2
13,44,2
13,48,2
13,52,2
13,56,2
13,60,2
13,64,2
13,68,2
13,72,2
13,76,2
13,80,2
14,4,0
14,8,0
14,12,0
14,16,0
14,20,0
14,24,0
14,28,3
14,32,6
14,36,3
14,40,3
14,44,3
14,48,3
14,52,3
14,56,3
14,60,3
14,64,3
14,68,3
14,72,3
14,76,3
14,80,3
15,4,0
15,8,0
15,12,0
15,16,0
15,20,0
15,24,0
15,28,0
15,32,3
15,36,4
15,40,2
15,44,2
15,48,2
15,52,2
15,56,2
15,60,2
15,64,2
15,68,2
15,72,2
15,76,2
15,80,2
16,4,0
16,8,0
16,12,0
16,16,0
16,20,0
16,24,0
16,28,0
16,32,3
16,36,6
16,40,3
16,44,3
16,48,3
16,52,3
16,56,3
16,60,3
16,64,3
16,68,3
16,72,3
16,76,3
16,80,3
17,4,0
17,8,0
17,12,0
17,16,0
17,20,0
17,24,0
17,28,0
17,32,0
17,36,3
17,40,4
17,44,2
17,48,2
17,52,2
17,56,2
17,60,2
17,64,2
17,68,2
17,72,2
17,76,2
17,80,2
18,4,0
18,8,0
18,12,0
18,16,0
18,20,0
18,24,0
18,28,0
18,32,0
18,36,3
18,40,6
18,44,3
18,48,3
18,52,3
18,56,3
18,60,3
18,64,3
18,68,3
18,72,3
18,76,3
18,80,3
19,4,0
19,8,0
19,12,0
19,16,0
19,20,0
19,24,0
19,28,0
19,32,0
19,36,0
19,40,3
19,44,4
19,48,2
19,52,2
19,56,2
19,60,2
19,64,2
19,68,2
19,72,2
19,76,2
19,80,2
20,4,0
20,8,0
20,12,0
20,16,0
20,20,0
20,24,0
20,28,0
20,32,0
20,36,0
20,40,3
20,44,6
20,48,3
20,52,3
20,56,3
20,60,3
20,64,3
20,68,3
20,72,3
20,76,3
20,80,3
21,4,0
21,8,0
21,12,0
21,16,0
21,20,0
21,24,0
21,28,0
21,32,0
21,36,0
21,40,0
21,44,3
21,48,4
21,52,2
21,56,2
21,60,2
21,64,2
21,68,2
21,72,2
21,76,2
21,80,2
22,4,0
22,8,0
22,12,0
22,16,0
22,20,0
22,24,0
22,28,0
22,32,0
22,36,0
22,40,0
22,44,3
22,48,6
22,52,3
22,56,3
22,60,3
22,64,3
22,68,3
22,72,3
22,76,3
22,80,3
23,4,0
23,8,0
23,12,0
23,16,0
23,20,0
23,24,0
23,28,0
23,32,0
23,36,0
23,40,0
23,44,0
23,48,3
23,52,4
23,56,2
23,60,2
23,64,2
23,68,2
23,72,2
23,76,2
23,80,2
24,4,0
24,8,0
24,12,0
24,16,0
24,20,0
24,24,0
24,28,0
24,32,0
24,36,0
24,40,0
24,44,0
24,48,3
24,52,6
24,56,3
24,60,3
24,64,3
24,68,3
24,72,3
24,76,3
24,80,3
25,4,0
25,8,0
25,12,0
25,16,0
25,20,0
25,24,0
25,28,0
25,32,0
25,36,0
25,40,0
25,44,0
25,48,0
25,52,3
25,56,4
25,60,2
25,64,2
25,68,2
25,72,2
25,76,2
25,80,2
