separation,tau,defect
28.0,0,0.0
28.0,2,0.00516785850471127
28.0,4,0.08830172265415921
28.0,6,0.1834657984098518
28.0,8,0.34157720735570485
28.0,10,0.574580663027422
28.0,12,0.8587039557451345
28.0,14,1.120275412053226
28.0,16,1.3358440304723653
28.0,18,1.4177667358986776
28.0,20,1.3752155604986651
28.0,22,1.3179620399763514
28.0,24,1.2896479561338665
28.0,26,1.3617224245623547
28.0,28,1.4471520127750506
28.0,30,1.518572642413738
28.0,32,1.6033476683418388
28.0,34,1.6571035679330914
28.0,36,1.7520908828449344
28.0,38,1.8078955901643448
28.0,40,1.849776201235575
28.0,42,1.8343206437125437
28.0,44,1.8260418781364849
28.0,46,1.851863410027806
28.0,48,1.8700653339326074
28.0,50,1.8955005338470365
28.0,52,1.8930757713009805
28.0,54,1.8865357061739043
28.0,56,1.8997767860729897
28.0,58,1.8976707665120476
28.0,60,1.8829388350077345
28.0,62,1.8657619152949025
28.0,64,1.8554727111251457
28.0,66,1.8567993670810437
28.0,68,1.8681544822883995
28.0,70,1.8713094680029063
28.0,72,1.875393444748472
28.0,74,1.867004967087179
28.0,76,1.8721446827368542
28.0,78,1.8784669915114447
28.0,80,1.889807532435929
28.0,82,1.8931445431922007
28.0,84,1.8945249861049493
28.0,86,1.9012234503363632
28.0,88,1.8684723326231871
28.0,90,1.8589525147932962
28.0,92,1.9000934218922152
28.0,94,1.9271364987271007
28.0,96,1.9069290629867854
28.0,98,1.899989022431651
28.0,100,1.9173752015260073
28.0,102,1.9509396088524553
28.0,104,1.937690087614836
28.0,106,1.9006927878986475
28.0,108,1.7890729227163225
28.0,110,1.6681171955838339
28.0,112,1.5867218466755633
28.0,114,1.3615620395275387
28.0,116,1.1305228837865315
28.0,118,1.0138280215198412
28.0,120,0.9642591219422892
31.0,0,0.0
31.0,2,2.3102395379348572e-06
31.0,4,0.0003842165129033674
31.0,6,0.01814816465080859
31.0,8,0.11934016468015625
31.0,10,0.20620935310836128
31.0,12,0.43597787711086605
31.0,14,0.7276492997963985
31.0,16,1.0297119085387638
31.0,18,1.2790921604002443
31.0,20,1.4478705525044344
31.0,22,1.5495072070274494
31.0,24,1.5261611491835534
31.0,26,1.382528431394425
31.0,28,1.2553742140381248
31.0,30,1.258232380425618
31.0,32,1.3364169948573723
31.0,34,1.3665414088185739
31.0,36,1.308450770293062
31.0,38,1.2833080839521556
31.0,40,1.3454166053692287
31.0,42,1.4331268703736224
31.0,44,1.5963832632776938
31.0,46,1.5854622311055901
31.0,48,1.6466247729766128
31.0,50,1.607507412691463
31.0,52,1.5172540976664675
31.0,54,1.401678679192419
31.0,56,1.2219195548484316
31.0,58,1.0834640841978826
31.0,60,0.9957557942393175
31.0,62,0.9528524890552876
31.0,64,0.9417675741433013
31.0,66,0.9353672667906727
31.0,68,0.9313712491488505
31.0,70,0.9281633667124658
31.0,72,0.9337554097628249
31.0,74,0.9302844824050985
31.0,76,0.9307965234360491
31.0,78,0.9312845258818507
31.0,80,0.939747193603078
31.0,82,0.9413093223282181
31.0,84,0.9398255223619391
31.0,86,0.9442408952846421
31.0,88,0.9428963085784408
31.0,90,0.9356658403724422
31.0,92,0.9266745684879321
31.0,94,0.9313107515498454
31.0,96,0.9311895519064515
31.0,98,0.9381761004969204
31.0,100,0.9345158177870406
31.0,102,0.9338404648577171
31.0,104,0.9318886144521673
31.0,106,0.9367140556140323
31.0,108,0.9387742345923283
31.0,110,0.93782489041878
31.0,112,0.9390830488951497
31.0,114,0.9376380064418478
31.0,116,0.9334424513139921
31.0,118,0.931390433766073
31.0,120,0.9324464023853111
34.0,0,0.0
34.0,2,2.339913290498676e-16
34.0,4,3.9661279364498644e-07
34.0,6,0.0002557469319940677
34.0,8,0.01388508089337689
34.0,10,0.11817208434182133
34.0,12,0.1994427033514914
34.0,14,0.4292049281312751
34.0,16,0.7400789369528442
34.0,18,1.0473004119428477
34.0,20,1.2748198775507475
34.0,22,1.431100402339579
34.0,24,1.5261758325022887
34.0,26,1.5396258535005811
34.0,28,1.4801072420006203
34.0,30,1.3971645494727154
34.0,32,1.3754707749016548
34.0,34,1.415048192113487
34.0,36,1.4824191512484242
34.0,38,1.4655688658867985
34.0,40,1.4819367001611607
34.0,42,1.5593727910273987
34.0,44,1.6585047986435024
34.0,46,1.7728562727811765
34.0,48,1.8680845805347013
34.0,50,1.9399374562278244
34.0,52,1.9279589987472736
34.0,54,1.852544748913789
34.0,56,1.8325361888377554
34.0,58,1.7309019909243588
34.0,60,1.6077032665417579
34.0,62,1.486588628642602
34.0,64,1.3230958859994926
34.0,66,1.100833952300317
34.0,68,0.9983465136493704
34.0,70,0.946086988798978
34.0,72,0.9345998566135685
34.0,74,0.9302844824050993
34.0,76,0.9307965234360501
34.0,78,0.931284525881851
34.0,80,0.939747193603078
34.0,82,0.9413093223282181
34.0,84,0.9398255223619385
34.0,86,0.9442408952846413
34.0,88,0.942896308578441
34.0,90,0.9356658403724422
34.0,92,0.9266745684879324
34.0,94,0.9313107515498449
34.0,96,0.9311895519064509
34.0,98,0.9381761004969204
34.0,100,0.9345158177870406
34.0,102,0.9338404648577163
34.0,104,0.9318886144521664
34.0,106,0.9367140556140323
34.0,108,0.9387742345923308
34.0,110,0.9378248904187803
34.0,112,0.939083048895149
34.0,114,0.9376380064418474
34.0,116,0.9334424513139924
34.0,118,0.9313904337660727
34.0,120,0.9324464023853124
37.0,0,0.0
37.0,2,2.9285585552246943e-16
37.0,4,4.722761564498975e-16
37.0,6,5.444517340050229e-06
37.0,8,0.0009099406663999359
37.0,10,0.03529451713704919
37.0,12,0.1402866799562628
37.0,14,0.27103506390412646
37.0,16,0.5438763346869161
37.0,18,0.872980918476661
37.0,20,1.1437177095029003
37.0,22,1.3432583578275257
37.0,24,1.4748801258647415
37.0,26,1.5240669417024868
37.0,28,1.3975143744071155
37.0,30,1.1540639358731353
37.0,32,0.9367516886318507
37.0,34,0.8903842745370032
37.0,36,0.8995461590763028
37.0,38,0.9236238074329052
37.0,40,0.9367841714602365
37.0,42,0.9371285897837094
37.0,44,0.9319925451524019
37.0,46,0.9217479341401325
37.0,48,0.9263751298187056
37.0,50,0.9338454994050751
37.0,52,0.9346413642478973
37.0,54,0.9393467242504268
37.0,56,0.9398586611550505
37.0,58,0.9414567044831661
37.0,60,0.9467013254470195
37.0,62,0.9464908848510885
37.0,64,0.9417675741433016
37.0,66,0.9353672667906727
37.0,68,0.9313712491488505
37.0,70,0.9281633667124658
37.0,72,0.9337554097628249
37.0,74,0.9302844824050985
37.0,76,0.930796523436049
37.0,78,0.9312845258818505
37.0,80,0.9397471936030777
37.0,82,0.9413093223282176
37.0,84,0.9398255223619391
37.0,86,0.9442408952846423
37.0,88,0.9428963085784408
37.0,90,0.9356658403724425
37.0,92,0.9266745684879318
37.0,94,0.9313107515498459
37.0,96,0.9311895519064517
37.0,98,0.9381761004969206
37.0,100,0.9345158177870406
37.0,102,0.9338404648577174
37.0,104,0.9318886144521678
37.0,106,0.936714055614032
37.0,108,0.9387742345923276
37.0,110,0.93782489041878
37.0,112,0.93908304889515
37.0,114,0.937638006441848
37.0,116,0.9334424513139917
37.0,118,0.9313904337660732
37.0,120,0.932446402385311
40.0,0,0.0
40.0,2,3.016565165657073e-16
40.0,4,6.501546092811678e-16
40.0,6,7.504122711592348e-16
40.0,8,9.578399251442113e-16
40.0,10,2.1291105751842203e-05
40.0,12,0.0018023844276982956
40.0,14,0.04973342757837779
40.0,16,0.1598016743585648
40.0,18,0.40405024565304376
40.0,20,0.7184404457536002
40.0,22,0.9759637021041138
40.0,24,1.2435101216513966
40.0,26,1.4646013643379525
40.0,28,1.5517138860849222
40.0,30,1.4811387870744717
40.0,32,1.2640479335439823
40.0,34,1.0592109335765454
40.0,36,0.9815723925099004
40.0,38,0.9433845013527741
40.0,40,0.9278654385312053
40.0,42,0.9370181971164062
40.0,44,0.9319925451524024
40.0,46,0.9217479341401331
40.0,48,0.9263751298187053
40.0,50,0.9338454994050749
40.0,52,0.9346413642478971
40.0,54,0.9393467242504278
40.0,56,0.9398586611550513
40.0,58,0.9414567044831654
40.0,60,0.9467013254470178
40.0,62,0.9464908848510885
40.0,64,0.9417675741433026
40.0,66,0.9353672667906724
40.0,68,0.9313712491488505
40.0,70,0.9281633667124655
40.0,72,0.9337554097628249
40.0,74,0.9302844824051001
40.0,76,0.9307965234360509
40.0,78,0.9312845258818497
40.0,80,0.939747193603078
40.0,82,0.9413093223282188
40.0,84,0.9398255223619384
40.0,86,0.9442408952846406
40.0,88,0.9428963085784408
40.0,90,0.9356658403724422
40.0,92,0.9266745684879334
40.0,94,0.9313107515498443
40.0,96,0.9311895519064498
40.0,98,0.93817610049692
40.0,100,0.9345158177870411
